id_transaction,Montant_transaction,Type_transaction
0,80.60054069677055,9.0
1,135.3008337017003,9.0
2,64.6976471365255,10.0
3,129.70976314282655,7.0
4,197.1457289244315,9.0
5,112.39793956484141,7.0
6,141.1767960596546,9.0
7,281.8763214250522,7.0
8,69.49928674219483,7.0
9,22.361063466113855,10.0
10,49.509656027955494,9.0
11,80.34973340378014,10.0
12,29.01316370515112,9.0
13,113.0998714923501,7.0
14,34.30897295325734,9.0
15,171.92537481414834,9.0
16,228.64268109837172,7.0
17,189.43766099172115,9.0
18,46.06568667901992,9.0
19,99.79701995478027,7.0
20,49.94113776749207,9.0
21,178.33311803836773,7.0
22,40.666599025153594,7.0
23,199.5639196500573,10.0
24,39.66016792150051,1.0
25,59.95287052556238,9.0
26,98.2094858349473,10.0
27,344.60325625325083,9.0
28,178.9491916539224,7.0
29,177.96877120178695,9.0
30,188.5624996342828,2.0
31,266.185920913461,10.0
32,127.1946034911595,9.0
33,210.31411291064975,9.0
34,243.27786668059738,10.0
35,420.7482721288132,9.0
36,186.50792761645832,7.0
37,303.05498772421515,10.0
38,55.98182007594343,7.0
39,39.21791937693405,7.0
40,105.32522839645675,9.0
41,70.2636829264281,9.0
42,189.5169733835683,7.0
43,207.00408234886348,9.0
44,29.30854910911221,2.0
45,145.18611514071463,7.0
46,140.7108784599021,7.0
47,42.76647650880757,7.0
48,193.50844503492576,7.0
49,52.57132527319225,9.0
50,182.79981008268828,7.0
51,310.94221035877706,7.0
52,187.32464596663,9.0
53,203.00802390694068,1.0
54,175.6197960087575,9.0
55,86.5400921039571,7.0
56,14.147648323575964,10.0
57,79.58833371051479,7.0
58,39.070898379626406,9.0
59,258.4088750243622,7.0
60,162.75506072315963,7.0
61,66.90563760204968,7.0
62,122.00529419484276,1.0
63,118.3244201736257,7.0
64,73.10110994565478,7.0
65,32.46455868142054,7.0
66,31.455816281010343,7.0
67,46.943128069949864,2.0
68,135.05911332452885,7.0
69,55.05454560824895,7.0
70,67.90308843102332,7.0
71,360.2507655668512,7.0
72,70.8080405023623,9.0
73,118.40076711854222,10.0
74,113.80456796950828,7.0
75,89.52911160416052,7.0
76,44.024108115500304,7.0
77,165.44000431172114,7.0
78,185.31036624835843,9.0
79,172.11242948722028,9.0
80,172.16099328015542,7.0
81,127.57258602295107,7.0
82,181.30836198076977,7.0
83,115.80843352759364,7.0
84,177.02153377414956,7.0
85,12.080331670644396,7.0
86,64.41066178953223,10.0
87,144.4910642125577,9.0
88,156.05728504017804,7.0
89,2.1432638582548083,7.0
90,16.759900395898704,1.0
91,184.28821823324574,7.0
92,10.745771037341273,9.0
93,155.56022374944004,9.0
94,70.0976121583123,2.0
95,201.59311133282597,7.0
96,218.35034633524367,9.0
97,167.77866123058502,7.0
98,93.13149747678015,7.0
99,95.66128251477458,9.0
100,81.58658474188134,7.0
101,320.4103159379835,7.0
102,75.35301578851741,10.0
103,198.16643934344899,7.0
104,365.97946728539665,9.0
105,136.4018612847295,9.0
106,76.41084063590657,7.0
107,153.255037976715,9.0
108,125.55200967093715,7.0
109,59.430684988130615,7.0
110,142.2206133397451,7.0
111,92.79477132003755,7.0
112,19.635825956642663,10.0
113,134.57848619806614,9.0
114,92.44154141563963,7.0
115,82.20355049690178,7.0
116,203.30212617593497,7.0
117,126.68173691883949,9.0
118,37.49553571732929,7.0
119,44.2505497754492,7.0
120,86.29671071648518,10.0
121,19.060107313373717,9.0
122,217.499845594694,9.0
123,384.1387357129226,7.0
124,155.47863301259022,7.0
125,159.23113723406627,7.0
126,129.80699648304176,7.0
127,151.06373858046626,9.0
128,125.0554609127797,7.0
129,62.06271550304244,9.0
130,194.48572269643745,9.0
131,14.286460700607018,9.0
132,198.30228458020082,7.0
133,47.613025771307775,7.0
134,51.09785996296786,7.0
135,205.10700010322319,7.0
136,96.82508789196925,10.0
137,84.93503732075173,9.0
138,219.01562346745396,10.0
139,78.58766743956058,7.0
140,242.415157717274,9.0
141,179.4028786769226,7.0
142,82.933314286815,7.0
143,120.40968545035946,7.0
144,170.53552531962436,9.0
145,68.54846159935735,9.0
146,91.85201482905413,7.0
147,148.40275984322173,7.0
148,20.66413608512713,7.0
149,55.59010749324311,9.0
150,104.39029434931965,7.0
151,97.13069781823782,10.0
152,249.74685350313666,9.0
153,102.27237304243677,9.0
154,25.766684359632283,7.0
155,110.39066873688608,7.0
156,158.74977438216249,7.0
157,193.2321325173016,9.0
158,131.3217306696435,7.0
159,89.14941056232101,7.0
160,109.05721542838059,9.0
161,36.136547420626016,9.0
162,122.96697201248705,7.0
163,74.88045244201771,7.0
164,75.99042658590966,7.0
165,21.255462881644217,9.0
166,155.14538851739837,9.0
167,160.79727593048025,7.0
168,352.06328521048385,9.0
169,178.06995661408973,9.0
170,78.22937949334657,7.0
171,67.65895983840164,7.0
172,151.90495446148537,2.0
173,53.8711961951715,9.0
174,139.93183538048078,10.0
175,150.30288909226968,9.0
176,93.60181902897124,9.0
177,63.240179510262784,9.0
178,41.12776501416997,7.0
179,319.236055863034,9.0
180,99.8204825527342,9.0
181,154.0199104157465,7.0
182,56.50800107714263,9.0
183,140.86676128495552,7.0
184,158.3349895889165,7.0
185,221.05915140999218,9.0
186,150.44211634232974,9.0
187,205.3738006878624,9.0
188,61.24105531491654,9.0
189,72.11209732778869,7.0
190,194.3974530645393,7.0
191,85.2085757671219,9.0
192,59.059290732641934,7.0
193,83.80113679073516,9.0
194,47.87218753253414,9.0
195,19.579626997209626,1.0
196,62.948019033610066,9.0
197,56.96252474003207,9.0
198,116.85885908922188,7.0
199,289.98158433079044,9.0
200,45.62814097506846,7.0
201,113.29097740128435,7.0
202,67.32622710964061,7.0
203,55.8747684255031,7.0
204,168.99248915899503,7.0
205,120.20447768029976,9.0
206,34.99108057334996,7.0
207,359.01506312826154,7.0
208,168.81229693172335,7.0
209,299.0788997731296,7.0
210,106.49276554837212,7.0
211,42.466696444719254,9.0
212,124.84389584355075,7.0
213,253.6693107167605,9.0
214,157.1813034889083,7.0
