id_transaction,Panier_moyen,Nombre_Transactions_10_Dernieres_heures
0,70.35564407103242,0.0
1,167.57275975420606,0.0
2,149.66916945355925,5.0
3,131.7332068858029,0.0
5,158.56867824756938,1.0
6,209.90789055239208,6.0
8,130.7968976358647,3.0
10,193.90051332597776,9.0
11,244.67875580983275,0.0
12,210.69253223578298,4.0
14,210.17819434170062,0.0
15,153.55670171814361,0.0
16,183.54933572161457,0.0
17,96.31846487092872,7.0
18,211.68519167610646,0.0
21,156.8640585625773,0.0
24,184.1937519393357,9.0
25,147.17049703199098,0.0
26,135.69129871530677,14.0
27,101.83608032691444,0.0
28,160.61787182325946,0.0
31,148.63873942472844,0.0
32,205.57502496684154,11.0
36,191.76122168686425,5.0
39,138.83766915717786,0.0
40,105.36107765878856,1.0
41,207.14351685141514,3.0
44,114.67281926713999,3.0
45,191.00559564602352,0.0
46,97.882442047896,3.0
47,146.10538232477768,3.0
49,151.45662355388814,4.0
50,237.4049656324453,6.0
51,192.5940973986532,0.0
52,227.57161127646214,0.0
54,202.17494410506458,1.0
55,191.73012507543132,2.0
57,189.81897082601216,1.0
60,152.63392001772482,8.0
62,142.02444493963463,0.0
63,148.1238672918956,3.0
64,213.47808366744843,10.0
65,155.64069502538817,0.0
67,215.77168499572016,0.0
68,95.08703558754436,6.0
70,125.76722184081879,0.0
72,175.9926362979433,0.0
74,255.0497269874004,0.0
75,168.0360940097629,0.0
76,235.54832469246492,3.0
78,180.77184298142743,0.0
81,184.0530829329025,4.0
82,149.819159830923,2.0
83,103.85622038447069,0.0
85,182.44568732036893,0.0
86,220.12210055350613,0.0
88,136.10319896835585,1.0
92,240.00103847350528,0.0
93,192.57931756456156,0.0
94,231.32010576502788,4.0
96,64.61725682262372,1.0
97,117.87088980090765,0.0
98,240.2264995159729,11.0
100,52.19357643590989,1.0
103,172.37381287953298,0.0
104,154.31983082733097,3.0
106,110.49958864045648,1.0
107,180.327883486032,0.0
108,142.38819399763776,5.0
109,119.5786656679389,0.0
110,163.44350776752938,0.0
111,127.9543899674789,0.0
113,138.972489554454,0.0
116,122.69906925296046,8.0
118,202.40330638579928,1.0
120,156.5232791984059,2.0
122,252.9893899695311,2.0
123,105.4833184557913,1.0
126,48.10192821791874,10.0
127,156.603732469309,0.0
130,162.86988790896285,0.0
133,130.72606680311122,7.0
134,37.33430915336844,8.0
135,157.30475217559083,5.0
136,172.6787075657098,0.0
138,172.1396252682613,3.0
139,212.14632796385231,0.0
141,193.7379895934812,0.0
142,137.96702132721907,3.0
143,59.365686321708885,0.0
144,197.71927004731708,3.0
147,212.2190902152964,0.0
149,49.17699782024325,0.0
150,144.3408834132023,0.0
154,106.0358419363818,5.0
156,187.16683676070076,11.0
158,98.76850846708813,0.0
159,134.97324526362115,0.0
160,61.191921913087384,0.0
162,49.12277279347252,0.0
165,216.59835434167104,0.0
166,141.99770009587857,0.0
167,110.55480181394438,6.0
168,138.2516622540617,0.0
169,185.7447692430999,3.0
170,160.97180790269977,5.0
172,123.10138289670496,7.0
174,194.9502937662863,3.0
175,120.61254426829409,4.0
176,50.60637493614882,0.0
178,131.43710793121704,0.0
180,146.50535552991028,2.0
181,154.2238152905653,6.0
182,156.66169960873663,6.0
188,51.2421002805445,3.0
192,131.18576008372182,0.0
